nv,P1.0,P1.05,P1.1,P1.2,P1.3,P1.4,P1.5,P1.6,P1.7,P1.8,P1.9,P2.0
2,,,,,,,,,,,,1.669516365
3,,,,,,,,,,,,1.896922325
4,,,,,,,,,,,,2.025158769
5,,,,,,,,,,,,2.107230093
6,,,,,,,,,,,,2.163654128
7,,,,,,,,,,,,2.206399609
8,,,,,,,,,,,,2.238886175
9,,,,,,,,,,,,2.262823644
10,,,,,,,,,,,,2.283341475
11,,,,,,,,,,,,2.299462628
12,,,,,,,,,,,,2.313141182
13,,,,,,,,,,,,2.324865657
14,,,,,,,,,,,,2.334636053
15,,,,,,,,,,,,2.343429409
16,,,,,,,,,,,,2.351245725
17,,,,,,,,,,,,2.357107963
18,,,,,,,,,,,,2.3629702
19,,,,,,,,,,,,2.367855398
20,,,,,,,,,,,,2.372740596
21,,,,,,,,,,,,2.376893014
22,,,,,,,,,,,,2.380312653
23,,,,,,,,,,,,2.383732291
24,,,,,,,,,,,,
25,,,,,,,,,,,,
26,,,,,,,,,,,,
27,,,,,,,,,,,,
28,,,,,,,,,,,,
29,,,,,,,,,,,,
