1/nv,P1.0,P1.05,P1.1,P1.2,P1.3,P1.4,P1.5,P1.6,P1.7,P1.8,P1.9,P2.0
0.5,,,,,,,,,,,,1.199882767
0.333333333,,,,,,,,,,,,1.070326797
0.25,,,,,,,,,,,,1.009368836
0.2,,,,,,,,,,,,0.972446556
0.166666667,,,,,,,,,,,,0.948783314
0.142857143,,,,,,,,,,,,0.932149362
0.125,,,,,,,,,,,,0.918967452
0.111111111,,,,,,,,,,,,0.908969805
0.1,,,,,,,,,,,,0.901960784
0.090909091,,,,,,,,,,,,
0.083333333,,,,,,,,,,,,
0.076923077,,,,,,,,,,,,
0.071428571,,,,,,,,,,,,
0.066666667,,,,,,,,,,,,
0.0625,,,,,,,,,,,,
0.058823529,,,,,,,,,,,,
0.055555556,,,,,,,,,,,,
0.052631579,,,,,,,,,,,,
0.05,,,,,,,,,,,,
0.047619048,,,,,,,,,,,,
0.045454545,,,,,,,,,,,,
0.043478261,,,,,,,,,,,,
0.041666667,,,,,,,,,,,,
0.04,,,,,,,,,,,,
0.038461538,,,,,,,,,,,,
0.037037037,,,,,,,,,,,,
0.035714286,,,,,,,,,,,,
0.034482759,,,,,,,,,,,,
