,P1.0,P1.1,P1.2,P1.3,P1.4,P1.5,P1.6,P1.7,P1.8,P1.9,P2.0
a1,1.6771138841034455e-09,3.1897073280252796e-13,3.278201643654516e-10,1.938434271721681e-10,6.036344894220169e-11,0.335612426998996,0.3764285325766715,0.4188357219778064,0.46170034002861543,0.504336199689223,0.5472017923489259
a2,1.0038803857356444,0.965803641241362,0.9361711942834259,0.8995318908679297,0.8683290823792029,0.8545495946869176,0.7942396309686176,0.7243243307275464,0.6508366513945819,0.5788841524862374,0.49775468938552164
a3,0.1886247976517138,0.22677114667415954,0.25683535538094676,0.29367654699841184,0.32494269659891256,0.0070912663833320585,0.02708389242844529,0.054994794925053436,0.08613023117734606,0.11603003215450353,0.15469796695915392
a4,0.06595617941704529,0.06610477274963421,0.051882428544449966,0.04700692714566756,0.03486979084078643,1.9999999990798307,1.9999999999524056,1.9999999999099733,1.9999999989827035,1.9999999998878735,1.9540940250743049
