,P1.0,P1.1,P1.2,P1.3,P1.4,P1.5,P1.6,P1.7,P1.8,P1.9,P2.0
infty,0.0,0.050015819744728136,0.10357756677888447,0.15943056350648083,0.21621961318907745,0.2730572626187164,0.3292477496166848,0.38439405632716156,0.43791727401995706,0.48945282520133776,0.5386344875916051
1,1.1936491600532304,1.1942050950460512,1.1944407230683298,1.195113189477692,1.195273004746591,1.194616674723634,1.1940366748366384,1.1925828794432418,1.1908121848870707,1.189219432827311,1.1869174891623064
