,P1.0,P1.05,P1.1,P1.2,P1.3,P1.4,P1.5,P1.6,P1.7,P1.8,P1.9,P2.0
a1,0.016979404186474555,0.11403428699688542,0.12963754817784973,0.1648663543832774,0.20106425772687217,0.24238238563466113,0.288786052404071,0.34043264579702326,0.3929649079303452,0.4469962799279196,0.5004355760710506,0.5510013515230202
a3,0.912126057739348,0.9368143418038796,0.9230998259490085,0.8934691780702216,0.8617989047189034,0.8246523401658108,0.784025561873916,0.7474120957602859,0.706955662529289,0.6707410505317943,0.6428745481494178,0.6155145870013753
a4,0.5564732884991481,0.7580307084005722,0.7542375128770267,0.7546225499993504,0.7506201028085436,0.755024007292976,0.7714736084243489,0.8100227027562299,0.8550099600170986,0.9216692157529102,1.0121171200191763,1.1136982619093714
