,P1.0,P1.1,P1.2,P1.3,P1.4,P1.5,P1.6,P1.7,P1.8,P1.9,P2.0
a1,1.0810844829867687,1.0147562410373834,0.949358314933112,0.8803188669169457,0.8133391897756405,0.7485153860723363,0.685137686801844,0.6235234637264058,0.5643627500777942,0.5077321862554156,0.44582534588814
a2,-0.15214243126754765,-0.18938571243989122,-0.22986140678927208,-0.27717959181384944,-0.32854653234886627,-0.3844288502926036,-0.44664039406372674,-0.5154485748359984,-0.5916330013865129,-0.6766479720787584,-0.7850146941166748
a3,5.60957412238423e-06,1.3501561224599744e-05,-9.844450621797866e-06,-0.00012583058735103126,2.647666643546074e-06,0.0001246498956509107,-7.083451408439241e-05,8.793885862499253e-05,0.00010899113808646568,-1.79018867364456e-06,-0.00018257882991003552
