,P1.0,P1.1,P1.2,P1.3,P1.4,P1.5,P1.6,P1.7,P1.8,P1.9,P2.0
a1,0.4901274960847716,0.48254848695886843,0.4759844567717751,0.4696712806495558,0.46564941221298095,0.4651746440714137,0.46618609839049757,0.4721096927309686,0.4820177191515091,0.4946020075636937,0.5146231753345513
a2,2.3826429804978977,2.241629742068061,2.1227408793866607,2.030330655938681,1.9438788599675525,1.857792044513547,1.7819031124608613,1.7034484892048207,1.6276818898880265,1.5589131578475661,1.486676304240613
a3,0.03105964104118604,0.02615180716071574,0.024328441256000508,0.019466353721457948,0.01790531270389176,0.020870662451801754,0.0241231086766779,0.03145479015080059,0.040799303079430305,0.04974381214505616,0.062329422826039496
a5,0.9093777671259418,0.9238733529021922,0.9412969773228124,0.927102209182457,0.9546830243813073,0.9599173333384271,0.9666062856998628,0.983200916087828,0.9712149000901135,0.9589401102396803,0.9819154951124747
