,P1.0,P1.05,P1.1,P1.2,P1.3,P1.4,P1.5,P1.6,P1.7,P1.8,P1.9,P2.0
a1,0.46863998981591787,0.5053839338444021,0.4622920582346013,0.45651367847568614,0.45513792123658614,0.4528707082258004,0.455968670547737,0.46391860337333907,0.4769170096253092,0.49749596484412983,0.5285554195802752,0.5729155804140916
a2,2.5556569201730794,2.159269890366514,2.3982016476645476,2.2579529074001243,2.1177765065413836,2.011490170301509,1.9003512328969439,1.7917436942537943,1.6885140687410336,1.5856610530058746,1.48180419901664,1.3787008528637008
a1_err,0.04544455216743074,0.05057730929329509,0.0575647183908936,0.05517909726769858,0.05441292989622046,0.05341908689247681,0.05362488892084256,0.0524758385996111,0.05087766509111444,0.05075622387379443,0.050351546010418725,0.05032764380808439
a2_err,0.4706812458171079,0.3465763749915807,0.49673975142205345,0.40579065481620785,0.33773872567329283,0.2835301020708025,0.242119553427838,0.19920325495337798,0.16110493914460458,0.1314242847186926,0.10535488645037065,0.08266164903120529
