,P1.0,P1.1,P1.2,P1.3,P1.4,P1.5,P1.6,P1.7,P1.8,P1.9,P2.0
a1,0.7076671557525247,0.6134932923156481,0.6038411142015551,0.4784167312360195,0.41143562253293997,0.36186189987607037,0.3681282408004091,0.37131366673061333,0.41527838083488633,0.4116224146510618,0.3388071466160289
a2,-0.35114957862827423,-0.4674783886014537,-0.49615242274333765,-0.7148590648186305,-0.8830888216709646,-1.036504122797065,-1.005489420804037,-0.9676484848762222,-0.8035409442381274,-0.7765989719588708,-0.928815060455667
a3,-0.3237232811474898,0.4275891555577607,-0.4286896399020894,-0.6350118993789226,0.776896947777133,0.8961890735389256,0.811788654859245,-0.7004203003013972,-0.3841062515510959,-1.963993582909478e-05,0.0002484032328693897
