,P1.0,P1.1,P1.2,P1.3,P1.4,P1.5,P1.6,P1.7,P1.8,P1.9,P2.0
infty,0.013098398078268342,0.021903893258185328,0.03767510794841211,0.05156536765294418,0.07252663702537658,0.09813185984613522,0.12958414291773337,0.16551492099189452,0.2068669539340116,0.24825193272364746,0.2922880291814874
1,1.2177596009339298,1.208986896992873,1.240710685676243,1.213983173058898,1.2106306577504637,1.2101364619316566,1.238010486966167,1.255430801773933,1.2895316992843884,1.2992054354811946,1.2604735365314739
