,P1.0,P1.1,P1.2,P1.3,P1.4,P1.5,P1.6,P1.7,P1.8,P1.9,P2.0
infty,0.10906642249171469,0.14500250947768994,0.18776168582254946,0.22614445046873982,0.26835017100114783,0.3130098490661035,0.3599589170749024,0.4070974890527721,0.4548442998152057,0.502312107592725,0.5483019720579358
1,1.0962433452672995,1.0904164972247505,1.0943642304012795,1.0903734797550622,1.0882239511687415,1.0890514003304805,1.1027042889738956,1.1127531498828866,1.1294204940992671,1.1526172218893438,1.1702599483336982
