,P1.0,P1.05,P1.1,P1.2,P1.3,P1.4,P1.5,P1.6,P1.7,P1.8,P1.9,P2.0
a1,6.558089214998374e-05,0.00011596429906631127,0.00028620986816206816,0.00024025060725196671,0.02245393263033056,0.10227528876485095,0.16445805476694209,0.24306553232508027,0.35131511404687804,0.4143693836456848,0.4939151459104166,0.5516534477024553
a2,-1.0000670842752948,-1.0000721816769862,-1.0000644405291919,-0.9999186720536992,-0.9853993670029046,-0.9299764070145119,-0.8646633815259707,-0.7855758770173193,-0.7889694127964582,-0.6860313855032119,-0.8997107496639075,-1.04034836451882
a3,0.00013408140686760618,0.00020814914611864366,0.00044564674069980873,0.0002847871817909348,0.021858106768389816,0.10065863536990254,0.15064282897230952,0.22432145679791135,0.43550261833538745,0.5018771453582689,0.8526845035121128,1.1144563491102968
