,P1.0,P1.1,P1.2,P1.3,P1.4,P1.5,P1.6,P1.7,P1.8,P1.9,P2.0
a1,1.2822671050790153,1.1251493094075797,1.002703158294362,0.8280616744104535,0.8466255530963007,0.8609802042527771,0.8675964870001225,0.859029769323729,0.8513838631432793,1.261817459536514,1.8815528982618792
a2,0.9942007640216579,0.9859477761160094,0.9700926428150083,0.9338992299652781,0.9084514048613633,0.8792287764830425,0.8453272842863779,0.8024827958389157,0.7560877005503507,0.8551249641960389,0.9187114725110442
a3,-0.3349220957794025,-0.4992237315033524,-0.6789170594956379,-1.030295837110812,-0.9838008745733295,-0.9278876630987904,-0.8738491097950617,-0.8257869773363481,-0.7596469556790006,-0.34722715132216886,-0.1386749502319539
a4,-0.24257812501194612,-0.16593415355668784,-0.052283099114593896,0.21900486936447203,0.2097706077832764,0.19237767655750193,0.17649489407548835,0.16565526437060066,0.14086931492280488,-0.10295163067457744,-0.11407430032270348
