,P1.0,P1.1,P1.2,P1.3,P1.4,P1.5,P1.6,P1.7,P1.8,P1.9,P2.0
a1,1.1050550308065057,1.0367976223646536,0.9688214977427099,0.8925354539244913,0.8317178931476235,0.7830527741963039,0.7380728743033177,0.7092311653117765,0.6905016058787007,0.6757137748481978,0.6738220486415923
a2,0.13704169641694064,0.17317550834339832,0.21379281055518987,0.26562627457347887,0.3088222121091707,0.3427098574504464,0.37451746381413853,0.38589324600021063,0.38227802848629144,0.37113564785575165,0.34026164180707064
a3,0.007000839301960526,0.009197839048997219,0.009845436643378657,0.0077417979134578735,0.014183608646800296,0.03166388773449033,0.05748053177882273,0.10553570643310475,0.17108507750388258,0.24814214928444864,0.33835385881125535
