,P1.0,P1.1,P1.2,P1.3,P1.4,P1.5,P1.6,P1.7,P1.8,P1.9,P2.0
a1,1.0124099588893118,0.9748906142248019,0.9441085770917338,0.9059008389266016,0.8741595281463144,0.8496498542229123,0.8300208035830862,0.8178324440009584,0.8123333532646532,0.810098263732282,0.8145981198786105
a2,0.1836567611293994,0.23228972285580765,0.2737581430197092,0.33065477995731946,0.3784984974234515,0.41236734449019924,0.4353990886815034,0.4381817209562519,0.4224612111368347,0.39668360774654476,0.3531708279453594
a3,-0.013367129672557827,-0.021286313832236423,-0.023904718157014504,-0.03345758253029189,-0.03350114812168041,-0.017312250895398652,0.014836514018686372,0.07147007193301301,0.14841085645617563,0.23647868603430394,0.33444538720806544
