,P1.0,P1.1,P1.2,P1.3,P1.4,P1.5,P1.6,P1.7,P1.8,P1.9,P2.0
a1,0.9946469989016842,0.983821751353943,0.9688523775924909,0.9514977390156408,0.9302736881141066,0.9054798199328714,0.8779336860846674,0.8473016298604672,0.8146592653706668,0.780886105444868,0.7461750919244599
a2,-0.6205405121380927,-0.6577347295936087,-0.6767448889292882,-0.6966039920718854,-0.6997222619387669,-0.6866054717817032,-0.6636785176211327,-0.6258814188318259,-0.5789068449834478,-0.5285397320422804,-0.47173791250056646
a3,-0.11261721552182204,-0.07859332009608003,-0.051037839468419985,-0.017332925373324676,0.006761363995294996,0.018949914482403,0.023815268515768782,0.016179803273914974,0.0013264628918960124,-0.014986569805032891,-0.034833512542902755
