,P1.0,P1.1,P1.2,P1.3,P1.4,P1.5,P1.6,P1.7,P1.8,P1.9,P2.0
a1,1.0124099588893118,0.9770546199995865,0.9461484548522003,0.9071934675223005,0.8753339760356882,0.8506070551938024,0.830754524254439,0.8185945711933807,0.8135041992178218,0.8113102042847605,0.815843393817833
a2,0.1836567611293994,0.23017417622534064,0.2717782694988566,0.32984395884298556,0.3776703469449593,0.41185231824890917,0.4351466113716758,0.43756326072629276,0.42048688096139963,0.39421795337825916,0.3503077242135073
a3,-0.013367129672557827,-0.02131852934207495,-0.024268035066718537,-0.03485353572272544,-0.03492263502543814,-0.019094612121707374,0.012929755767806401,0.07011399476395236,0.1484468959906219,0.23723961736729432,0.33573374915750653
