,P1.0,P1.05,P1.1,P1.2,P1.3,P1.4,P1.5,P1.6,P1.7,P1.8,P1.9,P2.0
infty,2.2250807497412278e-05,2.2341235458653248e-05,2.2453042071894796e-05,2.4937054699643458e-05,2.369986094932078e-05,0.0684813151833286,0.16394146617099264,0.25583698599653,0.3363307383180762,0.41086671567040556,0.47814946160689314,0.5390668282899894
1,2.22885266664049,1.964207799452405,1.7375747947290168,1.4586081827521178,1.2858923834678389,1.2434067755116018,1.2458146805856756,1.2670465147171253,1.2796028042682226,1.304167752227902,1.3438813036038475,1.3903009421013852
