,P1.0,P1.05,P1.1,P1.2,P1.3,P1.4,P1.5,P1.6,P1.7,P1.8,P1.9,P2.0
a1,0.45867517303648214,0.4639706642173109,0.46898028599988456,0.4821939552716772,0.4979883422765331,0.519805310914354,0.5537728092088845,0.6005332206433207,0.6762574722592528,0.7995595601089037,1.034879956867784,1.5625177383624635
a2,2.5976702437039956,2.4075157811839887,2.2487101464197354,1.9804375903935703,1.7728708976760212,1.5989947261120332,1.4382114037881017,1.2964765397790428,1.1535871231888826,1.0095160435134731,0.8504260845518811,0.6715977852939821
