,P1.0,P1.05,P1.1,P1.2,P1.3,P1.4,P1.5,P1.6,P1.7,P1.8,P1.9,P2.0
infty,0,0.023974,0.049664134,0.104752292,0.162066477,0.219572446,0.276180118,0.330094681,0.38155994,0.429612737,0.474786029,0.51605078
1,1.191486849,1.167181,1.143619138,1.094800923,1.048333395,1.002828242,0.955137111,0.909830511,0.862179627,0.813307217,0.760675561,0.704763603
