,P1.0,P1.05,P1.1,P1.2,P1.3,P1.4,P1.5,P1.6,P1.7,P1.8,P1.9,P2.0
a1,0.4834918103742722,0.4871955554314437,0.4908930056027595,0.5016083797265571,0.5152841700991895,0.5353763346977285,0.5684364848161171,0.6158847503918933,0.6932002554391282,0.8231105902573865,1.0773193601964335,1.697055493589368
a2,2.4106679652695786,2.2530952568218376,2.119164635778224,1.8894230118626925,1.7078903703629427,1.5522999547904626,1.403960676635878,1.2690692142067692,1.1316406783605448,0.9889125780900304,0.8286070510519853,0.6399721985434057
a1_err,0.16233583469211998,0.14271262645699484,0.13934182962816183,0.14055498087240514,0.13404561196089165,0.13034253501787255,0.13377580661972424,0.1387127490331404,0.15245672077852981,0.1954767660144826,0.26199839018701376,0.5207880826766033
a2_err,1.2169001507113153,0.9457830567161701,0.8277111958435751,0.6678902742814954,0.51409748713546,0.4016069499615079,0.3185762324449002,0.25291520942882517,0.1995117985587881,0.17283772034329664,0.13320151705296845,0.11610361014700234
