,P1.0,P1.05,P1.1,P1.2,P1.3,P1.4,P1.5,P1.6,P1.7,P1.8,P1.9,P2.0
infty,0.0,0.025071428046775323,0.0516112361483742,0.1076524804572498,0.16522831897980125,0.22255749978894512,0.27880445483148925,0.3324538003020919,0.3835668582599839,0.43152178463000895,0.47671712374442116,0.5185339875736463
1,1.1655365910789037,1.1431631341311084,1.1212272135859676,1.076367062517421,1.0333440065550725,0.990870512856894,0.9456154517798585,0.9017026411366847,0.8553826641045258,0.8067531160669674,0.753787520259208,0.6950594639543464
