,P1.0,P1.05,P1.1,P1.2,P1.3,P1.4,P1.5,P1.6,P1.7,P1.8,P1.9,P2.0
a1,0.6185474106585183,0.6172673520766713,0.6178852343989546,0.6217165452251303,0.6306532150929561,0.648622181480787,0.6818899142774922,0.7402058697317047,0.8364165972128336,1.010464788327888,1.380568815693356,2.524237281370298
a2,1.570269905306417,1.5263500104314391,1.4810717941408995,1.400230493163926,1.3258194169145952,1.250299517689741,1.1670361445144835,1.0724772408820085,0.9692581854531916,0.8494091963364315,0.702978349600966,0.5072009055861829
a1_err,0.0616835228204246,0.06185753952425614,0.060481751959521046,0.06041093238407935,0.059695081821711245,0.06016227247584782,0.055980400399537694,0.06564953479866982,0.070786177669132,0.08014789244947855,0.10430932024840553,0.1538362249304798
a2_err,0.27103046754676,0.24754879079137465,0.2197996151976513,0.18464125316714336,0.15382377668534453,0.12717508031561697,0.09483983813785099,0.0850398847473196,0.06620475289880585,0.0492937087626025,0.03457216343734007,0.01782601059094658
